"","File","Date","GPP.mean","GPP.sd","GPP.median","ER.mean","ER.sd","ER.median","NEP.mean","NEP.sd","NEP.median","PR.mean","PR.sd","PR.median","K.mean","K.sd","K.median","theta.mean","theta.sd","theta.median","A.mean","A.sd","A.median","p.mean","p.sd","p.median","R2","PPP","rmse","rmse.relative","mrl.fraction","ER.K.cor","convergence.check","A.Rhat","K.Rhat","theta.Rhat","p.Rhat","R.Rhat","GPP.Rhat","DIC","pD","totDailyLight","aveDailyTemp","interval","smooth.DO","smooth.PAR","n.iter","n.burnin"
"151","APNERR2012dtd.csv","2012-08-01",0.455885157002783,0.021051755230771,0.455596767526889,1.35920550772437,0.163531233724722,1.36132209131674,-0.903320350721584,0.1539979804224,-0.903362544897587,0.339518292181158,0.0372378662232079,0.335655863307647,0.62705513635112,0.100151700263156,0.627156612150181,1.07177,0,1.07177,9.7990413746595e-06,4.52497777887227e-07,9.79284257576708e-06,1,0,1,0.892057669483232,0.485,0.0319726336594993,4.97110138754519,0.3125,0.989793435864325,"Fine",1.00304219159102,1.04258649509036,1,1,1.04128178613233,1.00304219159095,-375.669006674286,4.21780944735485,46523.4444444444,28.21875,900,0,FALSE,20000,10000
"152","APNERR2012dtd.csv","2012-08-02",0.604749478436327,0.0282344286203715,0.605131406956186,2.98019397188936,0.283833834549708,2.97147948003734,-2.37544449345303,0.265843275004024,-2.36484214125231,0.204176036847507,0.015018429936661,0.203945443481901,1.57503113049244,0.175193014095771,1.56821634961119,1.07177,0,1.07177,1.61733758440738e-05,7.55099495084594e-07,1.61835901124899e-05,1,0,1,0.872298061997925,0.491,0.0317536710342115,4.74147521252668,0.291666666666667,0.995140872873556,"Fine",1.01336987156421,1.04313516350314,1,1,1.04325688813398,1.01336987156408,-376.393846334239,4.38550211647315,37391.6666666667,28.9083333333333,900,0,FALSE,20000,10000
"153","APNERR2012dtd.csv","2012-08-03",0.64975226880519,0.0220637650027883,0.649355324556893,3.82537323394864,0.211594060875237,3.82495958176834,-3.17562096514345,0.199443814659211,-3.17633651310209,0.170186425285512,0.00763270113911022,0.169831763628295,2.01150977521601,0.126779560461546,2.01240897161126,1.07177,0,1.07177,1.83245605732187e-05,6.22250691036953e-07,1.8313365800578e-05,1,0,1,0.910494375247003,0.425333333333333,0.0250862512490374,3.63652754178701,0.239583333333333,0.993636959319118,"Fine",1.01518982702787,1.07893349630658,1,1,1.07986605294677,1.01518982702782,-421.885240890245,4.02466292467772,35458,29.2927083333333,900,0,FALSE,20000,10000
"154","APNERR2012dtd.csv","2012-08-04",0.530187930102851,0.0395363602383151,0.530620789555433,3.54828727051934,0.279264277637102,3.59253819063482,-3.01809934041649,0.253052474125779,-3.05656822605346,0.149747289059331,0.00902452432807436,0.149484137738296,1.90952816898334,0.158307645175207,1.93158999637582,1.07177,0,1.07177,9.80933338868536e-06,7.31486547567318e-07,9.81734198797579e-06,1,0,1,0.733166144742226,0.515666666666667,0.0475592968342353,6.22943718350037,0.291666666666667,0.989289373144217,"Fine",1.01885743441224,1.08286274465682,1,1,1.08070122540328,1.01885743441227,-300.104989764453,4.03619823798518,54049.3333333333,29.7479166666667,900,0,FALSE,20000,10000
"155","APNERR2012dtd.csv","2012-08-05",0.7270695446005,0.0835784258249393,0.726663354153463,7.05012311217934,0.808633404423818,7.07132694261241,-6.32305356757884,0.745005783985538,-6.33720635575367,0.10342652085452,0.00788739138675034,0.103259337406165,4.03697441797936,0.471317978568668,4.04502152662311,1.07177,0,1.07177,1.58719159725245e-05,1.82451563493587e-06,1.58630488418737e-05,1,0,1,0.597887658329311,0.503666666666667,0.0720819188295291,7.88209854933928,0.333333333333333,0.995070856712759,"Fine",1.02239555570699,1.04402596076042,1,1,1.04494445274957,1.02239555570703,-220.779711549339,4.12985138429469,45808.5555555555,29.846875,900,0,FALSE,20000,10000
"156","APNERR2012dtd.csv","2012-08-06",0.392102098126775,0.111891963314924,0.38780570734234,9.95597392013305,1.62676201656396,9.82448270855759,-9.56387182200628,1.55135915610035,-9.44311181783263,0.0391400148614706,0.00837419043367625,0.039110591752316,5.77138618913603,0.925586500298808,5.69959994568798,1.07177,0,1.07177,8.76562742653985e-06,2.50139763885061e-06,8.66957958319727e-06,1,0,1,0.408338942686048,0.532333333333333,0.104169595022307,9.83737685143243,0.3125,0.997117364902904,"Fine",1.01048845497949,1.00606019087911,1,1,1.00639529059936,1.01048845497948,-151.442202848151,3.66587806568653,44731.7777777778,29.996875,900,0,FALSE,20000,10000
"157","APNERR2012dtd.csv","2012-08-07",1.08368166444835,0.164667102973613,1.0806111768404,14.248081398655,1.91674885809582,14.2887099565119,-13.1643997342067,1.77574501808661,-13.1796550214869,0.0760807170961123,0.00579874296867969,0.0759942557566279,7.78405147182438,1.04266432655312,7.80433562361005,1.07177,0,1.07177,2.3435177461489e-05,3.56101141770294e-06,2.33687765761125e-05,1,0,1,0.612544236831025,0.548,0.0912573530168785,7.9283614929692,0.291666666666667,0.997693117714412,"Fine",1.00695169656722,1.00433233335459,1,1,1.00466933033471,1.00695169656722,-176.473865127648,3.78563375509782,46241.6666666667,30.3229166666667,900,0,FALSE,20000,10000
"158","APNERR2012dtd.csv","2012-08-08",0.266442484725708,0.310698758583925,0.139553918309343,30.6578758540377,21.8908824328114,21.0176730490226,-30.391433369312,21.6538424442848,-20.809113724924,0.00757171789617373,0.00530631789945183,0.00663723397507832,16.3322117252161,11.5901374849485,11.1966412537792,1.07177,0,1.07177,6.60532055192948e-06,7.7024686871769e-06,3.45965233607524e-06,1,0,1,0.185868874374115,0.525333333333333,0.132676940117435,11.02623663399,0.333333333333333,0.999855593394926,"Check convergence",1.63865182395228,3.28451884728891,1,1,3.27371407638036,1.63865182395228,-100.340674600787,4.56418442011651,40337.5555555555,30.2645833333333,900,0,FALSE,20000,10000
"159","APNERR2012dtd.csv","2012-08-09",3.36327722292382,1.04582540764073,3.41923313604629,53.2626201144743,17.371697710189,53.8395187492477,-49.8993428915505,16.3725330322546,-50.3814165273821,0.0638421202521915,0.00589234460688534,0.0636596684670789,25.3213023442713,8.31888244818511,25.5426917434311,1.07177,0,1.07177,0.000128353574014707,3.99120916798466e-05,0.000130489033258915,1,0,1,0.29220417684882,0.515666666666667,0.129390610268524,10.8277361297079,0.28125,0.999594460034719,"Check convergence",1.96082433555466,2.08176961258343,1,1,2.08104065247026,1.96082433555466,-109.835938953055,3.22496961537153,26203.2222222222,30.2052083333333,900,0,FALSE,20000,10000
"160","APNERR2012dtd.csv","2012-08-10",0.644440688392693,0.122386040521705,0.641058284177643,31.3173524670218,3.49643713261007,31.4169265447671,-30.6729117786291,3.39973014520804,-30.7802086328152,0.0204845809708091,0.00251157017457983,0.0204952721010382,14.9817978359452,1.65885918747646,15.0307170286329,1.07177,0,1.07177,1.44175193656608e-05,2.73803802442875e-06,1.4341847734196e-05,1,0,1,0.772264502151803,0.527,0.059126152731479,5.32690304006786,0.333333333333333,0.999342234791391,"Fine",1.040369739173,1.06615951773667,1,1,1.06607255682683,1.04036973917299,-259.37199658419,3.73425072073382,44698.4444444445,29.8729166666667,900,0,FALSE,20000,10000
"161","APNERR2012dtd.csv","2012-08-11",0.00712992538242172,0.0074228468865852,0.0049766084084453,0.101650789466535,0.102082916132902,0.0721613821951152,-0.094520864084113,0.102439140619187,-0.0650665120296067,0.473977734266241,2.63604266667271,0.0698073210198297,0.0794254353876492,0.0501934083121206,0.0656672844138816,1.07177,0,1.07177,2.9526760922207e-07,3.07398203524967e-07,2.06093498596614e-07,1,0,1,0.00561380377932961,0.521666666666667,0.116129472205567,11.81574044734,0.4375,0.976735703026307,"Fine",1.00074088322419,1.00150376894397,1,1,1.00084424133946,1.00074088322419,-130.559217479046,5.94738314827109,24147.3333333333,29.1447916666667,900,0,FALSE,20000,10000
"162","APNERR2012dtd.csv","2012-08-12",1.29879137630053,0.106726789692059,1.29655255293444,26.2498045721345,1.54698559765206,26.228832702061,-24.9510131958339,1.45473049002506,-24.9332700676244,0.0494403805641802,0.0020825953515644,0.0494718888761951,11.8833906643213,0.692532746271204,11.8764461531009,1.07177,0,1.07177,3.23708734054411e-05,2.66004183668937e-06,3.2315073321545e-05,1,0,1,0.833861400197517,0.466333333333333,0.0406403859421471,4.85163497832379,0.4375,0.99861821583651,"Fine",1.05423508284426,1.07619673719442,1,1,1.07634996511778,1.05423508284421,-330.758701401468,3.57603754486404,40122.2222222222,29.29375,900,0,FALSE,20000,10000
"163","APNERR2012dtd.csv","2012-08-13",0.654368727712001,0.108339116749906,0.647001977134678,19.0110573246868,2.54148837002416,18.8185868891821,-18.3566885969748,2.45134982917523,-18.1678918964583,0.0343969198414008,0.00312298098506151,0.0344449363748349,9.26661700683841,1.23350413735422,9.17099310075027,1.07177,0,1.07177,1.19260429901746e-05,1.97450903314802e-06,1.17917820141187e-05,1,0,1,0.532144110662442,0.513666666666667,0.0586174019492986,8.16696607051938,0.291666666666667,0.999283710793106,"Fine",1.02852632880252,1.05102164881876,1,1,1.05090644054411,1.02852632880253,-258.980869402405,5.40810438651655,54868.8888888889,30.1875,900,0,FALSE,20000,10000
"164","APNERR2012dtd.csv","2012-08-14",0.452394547132097,0.0509447648256975,0.449445494751385,17.5930949185686,1.35917695564802,17.3699430482192,-17.1407003714365,1.33226580919408,-16.9235733736447,0.025746127234737,0.00246896181848496,0.0256895654915555,8.45599533448856,0.653854947479429,8.35357407736948,1.07177,0,1.07177,1.72022583588827e-05,1.93716969428519e-06,1.709012093086e-05,1,0,1,0.767651155847297,0.37,0.0408693096832374,6.70181222047605,0.40625,0.998879188680064,"Fine",1.00764659497113,1.02299208069052,1,1,1.02316555400601,1.00764659497114,-329.488343870092,3.78583236586396,26298.5555555556,30.0052083333333,900,0,FALSE,20000,10000
"165","APNERR2012dtd.csv","2012-08-15",0.332828401018435,0.0155897885084819,0.33322542818768,7.49323013112788,0.332926387884644,7.49902610622634,-7.16040173010944,0.327763853214479,-7.16583733579481,0.0444725863384342,0.00231951844755773,0.0444085699141703,3.34169278022216,0.151412044085884,3.34409009263813,1.07177,0,1.07177,1.02821783546414e-05,4.81620515150904e-07,1.0294443846869e-05,1,0,1,0.930842440472375,0.285333333333333,0.0177749400507138,3.60238732317783,0.270833333333333,0.998194815453771,"Check convergence",1.01186249481889,1.12936035609766,1,1,1.12965592758332,1.01186249481889,-487.153737432628,4.01337172848395,32369.4444444444,29.575,900,0,FALSE,20000,10000
"166","APNERR2012dtd.csv","2012-08-16",0.319501833083422,0.0130110723763971,0.319528365889235,3.05776495302326,0.197961766681074,3.05274322639629,-2.73826311993984,0.19106208789451,-2.73559570724045,0.104775892068109,0.00570285457357218,0.104520455177444,1.28863533917487,0.0869791481161474,1.28715095588895,1.07177,0,1.07177,7.07460708600881e-06,2.88099207263699e-07,7.0751945917962e-06,1,0,1,0.943038759520994,0.387333333333333,0.0163326359564502,4.06600421268482,0.291666666666667,0.997440317105286,"Check convergence",1.02343969528629,1.12038598737721,1,1,1.11967700755194,1.02343969528619,-500.118911875467,6.84572110994688,45161.7777777778,29.9739583333333,900,0,FALSE,20000,10000
